﻿year,region,energy_cost,size_estabish,value,unit,source
2560,ทั่วประเทศ,ค่าน้ำมันเชื้อเพลิง,51 - 200 คน,393500.88,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าน้ำมันเชื้อเพลิง,มากกว่า 200 คน,224906.53,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าไปรษณีย์ ค่าโทรศัพท์ ค่าโทรสาร,รวม,721764.49,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าไปรษณีย์ ค่าโทรศัพท์ ค่าโทรสาร,1 - 15 คน,182804.46,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าไปรษณีย์ ค่าโทรศัพท์ ค่าโทรสาร,16 - 25 คน,27850.48,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าไปรษณีย์ ค่าโทรศัพท์ ค่าโทรสาร,26 - 30 คน,20987.86,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าไปรษณีย์ ค่าโทรศัพท์ ค่าโทรสาร,31 - 50 คน,52992.45,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าไปรษณีย์ ค่าโทรศัพท์ ค่าโทรสาร,51 - 200 คน,224473.49,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าไปรษณีย์ ค่าโทรศัพท์ ค่าโทรสาร,มากกว่า 200 คน,212655.75,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเครื่องเขียน แบบพิมพ์ หนังสือพิมพ์ และวัสดุสิ้นเปลือง,รวม,2146461.78,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเครื่องเขียน แบบพิมพ์ หนังสือพิมพ์ และวัสดุสิ้นเปลือง,1 - 15 คน,92142.6,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเครื่องเขียน แบบพิมพ์ หนังสือพิมพ์ และวัสดุสิ้นเปลือง,16 - 25 คน,31647.35,พันบาท,สำนักงานสถิติแห่งชาติ
